abadzekhskaya	Abadzekhskaya
uyskoye	Uyskoye
uzhur	Uzhur
uzlovaya	Uzlovaya
uzunovo	Uzunovo
vacha	Vacha
vachi	Vachi
vad	Vad
vadinsk	Vadinsk
vagay	Vagay
vagonoremont	Vagonoremont
vakhrushev	Vakhrushev
vakhrushevo	Vakhrushevo
vakhrushi	Vakhrushi
vakhtan	Vakhtan
valday	Valday
valerianovsk	Valerianovsk
valerik	Valerik
valuyki	Valuyki
vanavara	Vanavara
vanino	Vanino
vardane	Vardane
varenikovskaya	Varenikovskaya
vargashi	Vargashi
varlamovo	Varlamovo
varna	Varna
varnavino	Varnavino
varygino	Varygino
vasil’sursk	Vasil’sursk
vasil’yevo	Vasil’yevo
vasil’yevskiy mokh	Vasil’yevskiy Mokh
vaskelovo	Vaskelovo
vasyl'evsky ostrov	Vasyl'evsky Ostrov
vasyurinskaya	Vasyurinskaya
vas’kovo	Vas’kovo
vatutinki	Vatutinki
vatutino	Vatutino
vavozh	Vavozh
vazhiny	Vazhiny
vedeno	Vedeno
velikent	Velikent
velikiy novgorod	Velikiy Novgorod
velikiy ustyug	Velikiy Ustyug
velikiye luki	Velikiye Luki
velikodvorskiy	Velikodvorskiy
velikooktyabr’skiy	Velikooktyabr’skiy
velikopetrovka	Velikopetrovka
velikovechnoye	Velikovechnoye
velizh	Velizh
vel’sk	Vel’sk
vel’ye	Vel’ye
venev	Venëv
vengerovo	Vengerovo
ventsy	Ventsy
verbilki	Verbilki
vereshchagino	Vereshchagino
vereya	Vereya
verkh-chebula	Verkh-Chebula
verkh-katunskoye	Verkh-Katunskoye
verkh-neyvinskiy	Verkh-Neyvinskiy
verkh-suyetka	Verkh-Suyetka
verkh-tula	Verkh-Tula
verkh-usugli	Verkh-Usugli
verkhnebakanskiy	Verkhnebakanskiy
verkhnechusovskiye gorodki	Verkhnechusovskiye Gorodki
verkhnedneprovskiy	Verkhnedneprovskiy
verkhnetulomskiy	Verkhnetulomskiy
verkhneural’sk	Verkhneural’sk
verkhnevilyuysk	Verkhnevilyuysk
verkhneyarkeyevo	Verkhneyarkeyevo
verkhneye dubrovo	Verkhneye Dubrovo
verkhneye kazanishche	Verkhneye Kazanishche
verkhniy avzyan	Verkhniy Avzyan
verkhniy baskunchak	Verkhniy Baskunchak
verkhniy bekhtemir	Verkhniy Bekhtemir
verkhniy fiagdon	Verkhniy Fiagdon
verkhniy kurkuzhin	Verkhniy Kurkuzhin
verkhniy landekh	Verkhniy Landekh
verkhniy lomov	Verkhniy Lomov
verkhniy mamon	Verkhniy Mamon
verkhniy tagil	Verkhniy Tagil
verkhniy ufaley	Verkhniy Ufaley
verkhniy uslon	Verkhniy Uslon
verkhniye achaluki	Verkhniye Achaluki
verkhniye kigi	Verkhniye Kigi
verkhniye osel’ki	Verkhniye Osel’ki
verkhniye sergi	Verkhniye Sergi
verkhniye tatyshly	Verkhniye Tatyshly
verkhnyaya balkariya	Verkhnyaya Balkariya
verkhnyaya inta	Verkhnyaya Inta
verkhnyaya khava	Verkhnyaya Khava
verkhnyaya maksakovka	Verkhnyaya Maksakovka
verkhnyaya pyshma	Verkhnyaya Pyshma
verkhnyaya salda	Verkhnyaya Salda
verkhnyaya sinyachikha	Verkhnyaya Sinyachikha
verkhnyaya sysert’	Verkhnyaya Sysert’
verkhnyaya tishanka	Verkhnyaya Tishanka
verkhnyaya toyma	Verkhnyaya Toyma
verkhnyaya tura	Verkhnyaya Tura
verkhoshizhem’ye	Verkhoshizhem’ye
verkhotur’ye	Verkhotur’ye
verkhovazh’ye	Verkhovazh’ye
verkhov’ye	Verkhov’ye
verkhoyansk	Verkhoyansk
verkhozim	Verkhozim
vershina tei	Vershina Tei
vershino-darasunskiy	Vershino-Darasunskiy
vershino-shakhtaminskiy	Vershino-Shakhtaminskiy
veseloyarsk	Veseloyarsk
veselyy	Vesëlyy
veshchevo	Veshchevo
veshenskaya	Vëshenskaya
veshkayma	Veshkayma
veshnyaki	Veshnyaki
ves’yegonsk	Ves’yegonsk
vetluga	Vetluga
vetluzhskiy	Vetluzhskiy
veydelevka	Veydelevka
vichuga	Vichuga
vidim	Vidim
vidnoye	Vidnoye
vidyayevo	Vidyayevo
vikhorevka	Vikhorevka
vikulovo	Vikulovo
vilenka	Vilenka
vilovatovo	Vilovatovo
vilya	Vilya
vilyuchinsk	Vilyuchinsk
vilyuysk	Vilyuysk
vinnitsy	Vinnitsy
vinogradnyy	Vinogradnyy
vinogradovo	Vinogradovo
vinsady	Vinsady
vinzili	Vinzili
vishnevka	Vishnëvka
vishnevogorsk	Vishnëvogorsk
vishnyakovskiye dachi	Vishnyakovskiye Dachi
visim	Visim
vistino	Vistino
vitim	Vitim
vityazevo	Vityazevo
vizinga	Vizinga
vkhodnoy	Vkhodnoy
vladikavkaz	Vladikavkaz
vladimir	Vladimir
vladimiro-aleksandrovskoye	Vladimiro-Aleksandrovskoye
vladimirovka	Vladimirovka
vladimirskaya	Vladimirskaya
vladimirskoye	Vladimirskoye
vladivostok	Vladivostok
vlasikha	Vlasikha
vniissok	Vniissok
vnukovo	Vnukovo
vodnyy	Vodnyy
vodstroy	Vodstroy
vokhma	Vokhma
vokhtoga	Vokhtoga
volchanets	Volchanets
volchansk	Volchansk
volchikha	Volchikha
volga	Volga
volgo-kaspiyskiy	Volgo-Kaspiyskiy
volgodonsk	Volgodonsk
volgograd	Volgograd
volgorechensk	Volgorechensk
volkhov	Volkhov
volkhovskiy	Volkhovskiy
volkovo	Volkovo
volochayevka vtoraya	Volochayevka Vtoraya
volochayevskoye	Volochayevskoye
volodarsk	Volodarsk
volodarskiy	Volodarskiy
volodarskogo	Volodarskogo
vologda	Vologda
volokolamsk	Volokolamsk
volokonovka	Volokonovka
voloshka	Voloshka
volosovo	Volosovo
volot	Volot
volovo	Volovo
volya	Volya
volzhsk	Volzhsk
volzhskiy	Volzhskiy
volzhsky	Volzhsky
vol’ginskiy	Vol’ginskiy
vol’no-nadezhdinskoye	Vol’no-Nadezhdinskoye
vol’nyy aul	Vol’nyy Aul
vol’sk	Vol’sk
vorgashor	Vorgashor
vorkuta	Vorkuta
vorobyovka	Vorobyovka
vorob’yovo	Vorob’yovo
voronezh	Voronezh
vorontsovka	Vorontsovka
voroshnevo	Voroshnëvo
vorotynets	Vorotynets
vorotynsk	Vorotynsk
vorsha	Vorsha
vorsma	Vorsma
voskhod	Voskhod
voskresensk	Voskresensk
voskresenskoye	Voskresenskoye
vostochnoe degunino	Vostochnoe Degunino
vostochny	Vostochny
vostochnyy	Vostochnyy
vostok	Vostok
vostryakovo	Vostryakovo
votkinsk	Votkinsk
voyskovitsy	Voyskovitsy
voyvozh	Voyvozh
vozdvizhenka	Vozdvizhenka
vozhega	Vozhega
voznesenskaya	Voznesenskaya
voznesenskiy	Voznesenskiy
voznesenskoye	Voznesenskoye
voznesen’ye	Voznesen’ye
vrangel’	Vrangel’
vsevolozhsk	Vsevolozhsk
vuktyl	Vuktyl
vurnary	Vurnary
vvedenskoye	Vvedenskoye
vyartsilya	Vyartsilya
vyatskiye polyany	Vyatskiye Polyany
vyazemskiy	Vyazemskiy
vyazniki	Vyazniki
vyazovaya	Vyazovaya
vyaz’ma	Vyaz’ma
vybor	Vybor
vyborg	Vyborg
vychegodskiy	Vychegodskiy
vydrino	Vydrino
vydropuzhsk	Vydropuzhsk
vygonichi	Vygonichi
vykhino-zhulebino	Vykhino-Zhulebino
vyksa	Vyksa
vyl’gort	Vyl’gort
vypolzovo	Vypolzovo
vyritsa	Vyritsa
vyselki	Vyselki
vysha	Vysha
vyshestebliyevskaya	Vyshestebliyevskaya
vyshkov	Vyshkov
vyshneye dolgoye	Vyshneye Dolgoye
vyshniy volochek	Vyshniy Volochëk
vysokaya gora	Vysokaya Gora
vysokinichi	Vysokinichi
vysokiy	Vysokiy
vysokiy mys	Vysokiy Mys
vysokogornyy	Vysokogornyy
vysokovsk	Vysokovsk
vysokoye	Vysokoye
vysotsk	Vysotsk
vysotskoye	Vysotskoye
vytegra	Vytegra
vyyezdnoye	Vyyezdnoye
vzmorye	Vzmorye
yablochnyy	Yablochnyy
yablonovskiy	Yablonovskiy
yadrin	Yadrin
yagodnoye	Yagodnoye
yagry	Yagry
yagunovo	Yagunovo
yagunovskiy	Yagunovskiy
yakhroma	Yakhroma
yakovlevka	Yakovlevka
yakovlevo	Yakovlevo
yakovlevskoye	Yakovlevskoye
yaksatovo	Yaksatovo
yakshur-bod’ya	Yakshur-Bod’ya
yakutsk	Yakutsk
yalga	Yalga
yalkhoy-mokhk	Yalkhoy-Mokhk
yalutorovsk	Yalutorovsk
yam	Yam
yambirno	Yambirno
yamkino	Yamkino
yanaul	Yanaul
yandyki	Yandyki
yanino-1	Yanino-1
yanishpole	Yanishpole
yanis’yarvi	Yanis’yarvi
yantal’	Yantal’
yantarnyy	Yantarnyy
yantikovo	Yantikovo
yar	Yar
yar-sale	Yar-Sale
yaransk	Yaransk
yarega	Yarega
yarensk	Yarensk
yarkovo	Yarkovo
yaropolets	Yaropolets
yaroslavichi	Yaroslavichi
yaroslavl	Yaroslavl
yaroslavskaya	Yaroslavskaya
yaroslavskiy	Yaroslavskiy
yarovoye	Yarovoye
yartsevo	Yartsevo
yasenevo	Yasenevo
yasenskaya	Yasenskaya
yashalta	Yashalta
yashkino	Yashkino
yashkul’	Yashkul’
yasnaya	Yasnaya
yasnaya polyana	Yasnaya Polyana
yasnogorsk	Yasnogorsk
yasnyy	Yasnyy
yavas	Yavas
yaya	Yaya
yayva	Yayva
yazykovo	Yazykovo
yedogon	Yedogon
yedrovo	Yedrovo
yefimovskiy	Yefimovskiy
yefremov	Yefremov
yegorlykskaya	Yegorlykskaya
yegor’yevsk	Yegor’yevsk
yekaterinburg	Yekaterinburg
yekaterinoslavka	Yekaterinoslavka
yekaterinovka	Yekaterinovka
yekimovichi	Yekimovichi
yelabuga	Yelabuga
yelanskiy	Yelanskiy
yelantsy	Yelantsy
yelan’	Yelan’
yelan’-koleno	Yelan’-Koleno
yelan’-kolenovskiy	Yelan’-Kolenovskiy
yelat’ma	Yelat’ma
yelets	Yelets
yelizavetinka	Yelizavetinka
yelizavetino	Yelizavetino
yelizavetinskaya	Yelizavetinskaya
yelizavetinskoye	Yelizavetinskoye
yelizovo	Yelizovo
yelkhovka	Yelkhovka
yelkino	Yëlkino
yelovo	Yelovo
yelshanka	Yelshanka
yel’digino	Yel’digino
yel’niki	Yel’niki
yel’nya	Yel’nya
yel’tsovka	Yel’tsovka
yemanzhelinka	Yemanzhelinka
yemanzhelinsk	Yemanzhelinsk
yembayevo	Yembayevo
yemel’yanovo	Yemel’yanovo
yemetsk	Yemetsk
yemtsa	Yemtsa
yemva	Yemva
yeniseysk	Yeniseysk
yenotayevka	Yenotayevka
yepifan’	Yepifan’
yerbogachen	Yerbogachen
yermakovskoye	Yermakovskoye
yermekeyevo	Yermekeyevo
yermish’	Yermish’
yermolayevo	Yermolayevo
yermolino	Yermolino
yerofey pavlovich	Yerofey Pavlovich
yershichi	Yershichi
yershov	Yershov
yershovo	Yershovo
yertarskiy	Yertarskiy
yertsevo	Yertsevo
yerzovka	Yërzovka
yessentuki	Yessentuki
yessentukskaya	Yessentukskaya
yetkul’	Yetkul’
yeysk	Yeysk
yeyskoye ukrepleniye	Yeyskoye Ukrepleniye
yoshkar-ola	Yoshkar-Ola
ytyk-kyuyel’	Ytyk-Kyuyël’
yubileyny	Yubileyny
yubileynyy	Yubileynyy
yug	Yug
yuganets	Yuganets
yugo-kamskiy	Yugo-Kamskiy
yugorsk	Yugorsk
yukamenskoye	Yukamenskoye
yukhnov	Yukhnov
yumaguzino	Yumaguzino
yurga	Yurga
yurgamysh	Yurgamysh
yurginskoye	Yurginskoye
yurino	Yurino
yurla	Yurla
yurovka	Yurovka
yurty	Yurty
yuryuzan’	Yuryuzan’
yur’ya	Yur’ya
yur’yev-pol’skiy	Yur’yev-Pol’skiy
yur’yevets	Yur’yevets
yushala	Yushala
yushkovo	Yushkovo
yushkozero	Yushkozero
yus’va	Yus’va
yutsa	Yutsa
yuzha	Yuzha
yuzhno-kurilsk	Yuzhno-Kurilsk
yuzhno-sakhalinsk	Yuzhno-Sakhalinsk
yuzhno-sukhokumsk	Yuzhno-Sukhokumsk
yuzhnoural’sk	Yuzhnoural’sk
yuzhnyy	Yuzhnyy
yuzhnyy-kospashskiy	Yuzhnyy-Kospashskiy
zabaykal’sk	Zabaykal’sk
zabolotovka	Zabolotovka
zadonsk	Zadonsk
zagorskie dali	Zagorskie Dali
zagoryanskiy	Zagoryanskiy
zagor’ye	Zagor’ye
zaigrayevo	Zaigrayevo
zainsk	Zainsk
zakamensk	Zakamensk
zakan-yurt	Zakan-Yurt
zakharovo	Zakharovo
zalari	Zalari
zalegoshch’	Zalegoshch’
zalesovo	Zalesovo
zalukokoazhe	Zalukokoazhe
zamishevo	Zamishevo
zamoskvorech’ye	Zamoskvorech’ye
zandak	Zandak
zaokskiy	Zaokskiy
zaozersk	Zaozërsk
zaozyornyy	Zaozyornyy
zapadnaya dvina	Zapadnaya Dvina
zaplavnoye	Zaplavnoye
zapolyarnyy	Zapolyarnyy
zaprudnya	Zaprudnya
zaraysk	Zaraysk
zarechnyy	Zarechnyy
zarech’ye	Zarech’ye
zarinsk	Zarinsk
zarubino	Zarubino
zarya	Zarya
zasechnoye	Zasechnoye
zasosna	Zasosna
zaterechnyy	Zaterechnyy
zaton	Zaton
zaural’skiy	Zaural’skiy
zavetnoye	Zavetnoye
zavetnyy	Zavetnyy
zavety il’icha	Zavety Il’icha
zavidovo	Zavidovo
zavitinsk	Zavitinsk
zavodoukovsk	Zavodoukovsk
zavodouspenskoye	Zavodouspenskoye
zavodskoy	Zavodskoy
zavolzhsk	Zavolzhsk
zavolzh’ye	Zavolzh’ye
zavoronezhskoye	Zavoronezhskoye
zav’yalovo	Zav’yalovo
zaykovo	Zaykovo
zaymishche	Zaymishche
zayukovo	Zayukovo
zdvinsk	Zdvinsk
zelenchukskaya	Zelenchukskaya
zelenets	Zelenets
zelenoborsk	Zelenoborsk
zelenoborskiy	Zelenoborskiy
zelenodolsk	Zelenodolsk
zelenogorsk	Zelenogorsk
zelenogorskiy	Zelenogorskiy
zelenograd	Zelenograd
zelenogradsk	Zelenogradsk
zelenogradskiy	Zelenogradskiy
zelenokumsk	Zelenokumsk
zelenyy bor	Zelënyy Bor
zelyony gorod	Zelyony Gorod
zemetchino	Zemetchino
zemlyansk	Zemlyansk
zenzeli	Zenzeli
zernograd	Zernograd
zeya	Zeya
zhadovka	Zhadovka
zhankhoteko	Zhankhoteko
zharikovo	Zharikovo
zharkovskiy	Zharkovskiy
zhatay	Zhatay
zhavoronki	Zhavoronki
zhdankovskiy	Zhdankovskiy
zheleznodorozhnyy	Zheleznodorozhnyy
zheleznogorsk	Zheleznogorsk
zheleznogorsk-ilimskiy	Zheleznogorsk-Ilimskiy
zheleznovodsk	Zheleznovodsk
zhemchug	Zhemchug
zhemtala	Zhemtala
zherdevka	Zherdevka
zheshart	Zheshart
zhigalovo	Zhigalovo
zhigansk	Zhigansk
zhigulevsk	Zhigulëvsk
zhiguli	Zhiguli
zhiletovo	Zhiletovo
zhilevo	Zhilëvo
zhireken	Zhireken
zhirnov	Zhirnov
zhirnovsk	Zhirnovsk
zhiryatino	Zhiryatino
zhitnevo	Zhitnevo
zhizdra	Zhizdra
zhukov	Zhukov
zhukovka	Zhukovka
zhukovsky	Zhukovsky
zhulebino	Zhulebino
zilair	Zilair
zima	Zima
zimovniki	Zimovniki
zirgan	Zirgan
zlatoust	Zlatoust
zlynka	Zlynka
zmeinogorsk	Zmeinogorsk
zmeyka	Zmeyka
zmeyskaya	Zmeyskaya
zmiyevka	Zmiyëvka
znamenka	Znamenka
znamensk	Znamensk
znamenskoye	Znamenskoye
zolotkovo	Zolotkovo
zolotukhino	Zolotukhino
zol’noye	Zol’noye
zonal’noye	Zonal’noye
zubova polyana	Zubova Polyana
zubovo	Zubovo
zubtsov	Zubtsov
zubutli-miatli	Zubutli-Miatli
zudilovo	Zudilovo
zuyevka	Zuyevka
zvenigorod	Zvenigorod
zvenigovo	Zvenigovo
zverevo	Zverevo
zverinogolovskoye	Zverinogolovskoye
zvezdnyy	Zvëzdnyy
zvezdnyy gorodok	Zvëzdnyy Gorodok
zvony	Zvony
zyablikovo	Zyablikovo
zykovo	Zykovo
zyryanka	Zyryanka
zyryanskoye	Zyryanskoye
zyukayka	Zyukayka
zyuzel’skiy	Zyuzel’skiy
zyuzino	Zyuzino
