4 arm (kharwali)	4 Arm (Kharwali)
nilagiri	Nilagiri
nilaiyur	Nilaiyūr
nilakottai	Nilakottai
nilambur	Nilambūr
nilambur	Nīlambūr
nilanga	Nilanga
nildoh	Nildoh
nileshwar	Nīlēshwar
nilithi	Nilithi
nilokheri	Nīlokheri
nilpur	Nīlpur
nimach	Nimach
nimaj	Nīmāj
nimaparha	Nimāparha
nimbahera	Nīmbāhera
nimbhora budrukh	Nimbhora Budrukh
ningthoukhong	Ningthoukhong
nipani	Nipāni
niramargar	Nīramārgar
nirmal	Nirmal
nirmali	Nirmāli
nirsa	Nirsā
nisang	Nīsang
nithari	Nithari
nivari	Nivāri
niwai	Niwai
niwari	Niwāri
niwas	Niwas
niz - mankata	Niz - Mankata
niz katigorah pt iii	Niz Katigorah Pt III
niz-bahjani	Niz-Bahjani
niz-hajo	Niz-Hajo
nizamabad	Nizāmābād
nizampur	Nizāmpur
no.2 goreswar	No.2 Goreswar
noamundi	Noāmundi
nohan	Nohan
nohar	Nohar
nohsa	Nohsa
noida	Noida
nokha	Nokha
nongpoh	Nongpoh
nongstoin	Nongstoin
nongthymmai	Nongthymmai
nongumlong	Nongumlong
noria	Norīa
north guwahati	North Guwāhāti
north lakhimpur	North Lakhimpur
north vanlaiphai	North Vanlaiphai
nowangabra	Nowangabra
nowgong	Nowgong
nowrangapur	Nowrangapur
nowrozabad	Nowrozabad
nowsolia gaon	Nowsolia Gaon
nua	Nūa
nuahata	Nūāhatā
nuapatna	Nuapatna
nuh	Nūh
numaligarh	Numāligarh
numaligarh refinery township	Numaligarh Refinery Township
nurmahal	Nūrmahal
nurpur	Nūrpur
nurpur	Nurpur
nurpur kalan	Nūrpur Kalān
nuvem	Nuvem
nuzvid	Nūzvīd
nyamti	Nyāmti
o.c.l. industrial township	O.C.L. Industrial Township
obra	Obra
ochira	Ochira
od	Od
odagaon	Odagaon
odaipatti	Odaipatti
odaiyakulam	Odaiyakulam
oddanchathiram	Oddanchathiram
odlabari	Odlābāri
odugattur	Odugattūr
oinam	Oinām
ojwah	Ojwāh
okha	Okha
okni	Okni
olagadam	Olagadam
olavanna	Olavanna
olpad	Olpād
omalur	Omalur
omkareshwar	Omkareshwar
onda	Onda
ongallur-i	Ongallur-I
ongallur-ii	Ongallur-II
ongole	Ongole
ooty	Ooty
orai	Orai
oran	Oran
orathanadu	Orathanadu
orchha	Orchha
ordnance factory itarsi	Ordnance Factory Itarsi
orgao	Orgao
orikkai	Orīkkai
orla	Orla
orumanayur	Orumanayūr
orvad	Orvad
osmania university	Osmania University
othukkungal	Othukkungal
ottaikkalmantapam	Ottaikkālmantapam
ottakkadai	Ottakkadai
ottapalam	Ottapalam
ottapparai	Ottappārai
ottappatti	Ottappatti
outabgarh	Outabgarh
ovari paravarnattam	Ovari Paravarnattam
ozar	Ozar
p. j. cholapuram	P. J. Cholapuram
pachchal	Pāchchal
pachgaon	Pachgaon
pachmarhi	Pachmarhi
pachor	Pachor
pachora	Pāchora
pachperwa	Pachperwa
pacode	Pacode
padaivedu	Padaivedu
padam	Padam
padampur	Padampur
paddhari	Paddhari
padghe	Padghe
padiyam	Padiyam
padiyanallur	Pādiyanallūr
padmabil	Padmabīl
padmanabhapuram	Padmanābhapuram
padmapur	Padmapur
padoli	Padoli
padra	Padra
padrauna	Padrauna
padri	Padri
pahalgam	Pahalgam
paharpur	Pahārpur
pahasu	Pahāsu
paikpara	Paikpara
pail	Pail
painkulam	Painkulam
paippad	Paippad
paithan	Paithan
paiyur	Paiyūr
pakala	Pākāla
pakhanjur	Pākhanjur
pakhar	Pākhar
pakhi khanauri	Pakhi Khanauri
pakridayal	Pakridayal
pakur	Pakur
pal	Pāl
pal lahara	Pāl Laharā
palachaurai	Pālāchaurai
palackattumala	Palackattumala
palai	Palai
palaiyam	Pālaiyam
palaiyampatti	Pālaiyampatti
palaj	Palaj
palakkad	Palakkad
palakkodu	Pālakkodu
palakollu	Palakollu
palakurthy	Palakurthy
palamedu	Pālamedu
palampur	Pālampur
palangarai	Palangarai
palani	Palani
palanisettipatti	Palanisettipatti
palanpur	Pālanpur
palappallam	Palappallam
palari	Palāri
palasa	Palāsa
palasbari	Palāsbāri
palavakkam	Palavakkam
palavansathu	Palavansathu
palayad	Palayad
palda	Pālda
palej	Palej
palera	Palera
palghar	Pālghar
pali	Pāli
palia kalan	Paliā Kalān
palidevad	Palidevad
palitana	Pālitāna
paliyad	Pāliyād
palkonda	Pālkonda
palladam	Palladam
pallappalaiyam	Pallappālaiyam
pallappatti	Pallappatti
pallattur	Pallattūr
pallavaram	Pallāvaram
palle	Palle
pallevada	Pallevāda
pallichal	Pallichal
pallikal	Pallikal
pallikaranai	Pallikaranai
pallikere	Pallikere
pallikonda	Pallikonda
pallikunnu	Pallikunnu
pallipalayam	Pallipalayam
pallipattu	Pallipattu
pallippadai	Pallippadai
pallippatti	Pallippatti
pallippattu	Pallippattu
pallipuram	Pallipuram
palmaner	Palmaner
palod	Palod
paloncha	Pāloncha
paloor	Paloor
palsud	Palsud
palugal	Palugal
paluru	Pālūru
paluvai	Paluvai
palwal	Palwal
palwal rural	Palwal Rural
palwancha	Palwancha
pamban	Pāmban
pammal	Pammal
pampur	Pāmpur
pamuru	Pāmūru
panachikkad	Panachikkad
panagar	Panāgar
panaikulam	Panaikulam
panakkudi	Pānakkudi
panamaram	Panamaram
panamarattuppatti	Panamarattuppatti
panangad	Panangad
panapakkam	Panapākkam
panara	Panara
panayattur vadakkumbhagam	Panayāttur Vadakkumbhāgam
panchet	Panchet
panchgani	Pānchgani
panchkula	Panchkula
panchla	Pānchla
pandamangalam	Pāndamangalam
pandaria	Pandaria
pandatarai	Pāndātarai
pandavarmangalam	Pandavarmangalam
pandhana	Pandhāna
pandharkawada	Pāndharkawada
pandharpur	Pandharpur
pandhurna	Pāndhurnā
pandit deen dayal upadhyaya nagar	Pandit Deen Dayal Upadhyaya Nagar
pandoh	Pāndoh
pandua	Pandua
pangala	Pāngāla
pangin	Pangin
panhala	Panhāla
panihati	Pānihāti
panipat	Panipat
panipat taraf ansar	Panipat Taraf Ansar
panipat taraf makhdum zadgan	Panipat Taraf Makhdum Zadgan
panipat taraf rajputan	Panipat Taraf Rajputan
panisagar	Panisagar
panjim	Panjim
pankhedi	Pankhedi
panna	Panna
pannaikadu	Pannaikadu
pannaipuram	Pannaipuram
panniyannur	Panniyannūr
panoor	Panoor
panpuli	Panpuli
panrra	Panrra
panruti	Panruti
pansemal	Pānsemāl
panth piplia	Panth Pīplia
pantheeramkavu	Pantheeramkavu
panvel	Panvel
paonta sahib	Pāonta Sāhib
papampeta	Pāpampeta
papanasam	Papanasam
paparhahandi	Pāparhāhāndi
papireddippatti	Pāpireddippatti
pappakurichchi	Pāppākurichchi
papparapatti	Papparapatti
pappinissheri	Pāppinisshēri
pappinivattom	Pappinivattom
paprawat	Paprawat
par	Pār
parabada	Parabada
paradip garh	Parādīp Garh
parakad	Parakād
paralakhemundi	Paralakhemundi
paralam	Paralam
paramagudi	Paramagudi
paramathi velur	Paramathi Velur
paramati	Paramati
paranda	Paranda
parangipettai	Parangipettai
parappukkara	Parappukkara
parappur	Parappur
parasgaon	Parasgaon
parasia	Parāsia
parassala	Pārassāla
paratdiha	Paratdiha
paravai	Paravai
paravur tekkumbhagam	Paravūr Tekkumbhāgam
parbatipur	Parbatipur
parbhani	Parbhani
pardi	Pārdi
pardi kanade	Pardi Kanade
pardi parnera	Pardi Parnera
pardi sondhpur	Pardi Sondhpur
pareo	Pareo
paria	Paria
parichha	Pārīchha
parichhatgarh	Parīchhatgarh
pariswani	Pariswani
pariyapuram	Pariyāpuram
pariyaram	Pariyāram
parli vaijnath	Parli Vaijnāth
parlli part	Parlli Part
parnera	Parnera
parol	Parol
parola	Parola
parpori	Parpori
parshadepur	Parshādepur
partabpur	Partābpur
partapur	Partāpur
partibanur	Pārtibanūr
partur	Partūr
parur	Parūr
parva i	Parva I
parvatipuram	Pārvatipuram
parvatsar	Parvatsar
parwanoo	Parwanoo
parxem	Parxem
pasan	Pasān
pasan	Pasan
pasaur	Pāsaur
pasighat	Pāsighāt
pasthal	Pasthal
pasur	Pāsūr
pat	Pat
pataliputra housing colony	Pataliputra Housing Colony
patamda	patamda
patamundai	Patāmundai
patan	Pātan
patancheru	Patancheru
pataudi	Pataudi
patdi	Patdi
patha deosar	Patha Deōsar
pathalgaon	Pathalgaon
pathanamthitta	Pathanāmthitta
pathankot	Pathānkot
pathar	Pathar
pathardi	Pāthardi
pathardih	Pāthardih
patharia	Patharia
pathirappally	Pathirappally
pathri	Pāthri
pathsala	Pathsala
patiala	Patiāla
patiali	Patiāli
patiriyat	Patiriyat
patna	Patna
patnagarh	Patnāgarh
patpat	Patpāt
patra	Patra
patran	Patran
patrapur	Pātrapur
patrasaer	Pātrasāer
patratu	Patrātu
patrodih	Patrodih
patsoi	Patsoi
pattamadai	Pattamadai
pattambi	Pattāmbi
pattan	Pattan
pattanam	Pattanam
patti	Patti
pattiyurgramam	Pattiyūrgrāmam
pattukkottai	Pattukkottai
pattyam	Pāttyam
patuli	Pātuli
patur	Pātūr
patuvilayi	Patuvilāyi
pauri	Pauri
pavali	Pavali
pavaratti	Pāvaratti
pavugada	Pāvugada
pavuluru	Pavuluru
pawai	Pawai
pawayan	Pawāyan
pawni	Pawni
pay	Pāy
payakaraopeta	Payakaraopeta
payyanur	Payyanur
pazhanji	Pazhanji
pedana	Pedana
pedappai	Pedappai
pedda bhogili	Pedda bhogili
pedda nakkalapalem	pedda nakkalapalem
peddaboddepalle	Peddaboddepalle
peddanayakkanpalaiyam	Peddanāyakkanpālaiyam
peddapalli	Peddapalli
peddapuram	Peddāpuram
peddikuppam	Peddikuppam
pehladpur bangar	Pehlādpur Bāngar
pehowa	Pehowa
pelawal	Pelāwāl
pen	Pen
pendra	Pendra
penha de franca	Penha de França
pennadam	Pennādam
pennagaram	Pennāgaram
pennathur	Pennāthur
pennathur	Pennathur
penugonda	Penugonda
penukonda	Penukonda
peragam	Pēragam
peraiyur	Peraiyur
peralam	Peralam
peralassery	Peralassery
peramangalam	Peramangalam
perambalur	Perambalur
peranamallur	Peranamallūr
peranampattu	Peranāmpattu
peravurani	Peravurani
peringandur	Peringandūr
peringathur	Peringathur
peringottupulam	Peringottupulam
perinjanam	Perinjanam
perintalmanna	Perintalmanna
periya semur	Periya Semūr
periyagaram	Periyagaram
periyakkurichchi	Periyākkurichchi
periyakoduveri	Periyakoduveri
periyakottai	Periyakottai
periyakulam	Periyakulam
periyanayakkanpalaiyam	Periyanayakkanpalaiyam
periyanegamam	Periyanegamam
periyapatti	Periyapatti
periyapattinam	Periyapattinam
pernem	Pernem
perole	Perole
perumagalur	Perumagalur
perumanallur	Perumānallūr
perumanna	Perumanna
perumbaikad	Perumbaikad
perumbakkam	Perumbākkam
perumbavoor	Perumbavoor
perumpandi	Perumpāndi
perumpavur	Perumpāvūr
perunad	Perunād
perundurai	Perundurai
perungudi	Perungudi
perungulam	Perungulam
perunkalattu	Perunkalattu
perur	Perūr
perur	Perur
peruvallur	Peruvallur
peruvila	Peruvila
perya	Perya
pethapur	Pethāpur
petlad	Petlād
petlawad	Petlāwad
petro-chemical complex ina	Petro-Chemical Complex INA
pettampalaiyam	Pettāmpālaiyam
pfutsero	Pfutsero
phagwara	Phagwāra
phalauda	Phalauda
phalodi	Phalodi
phaltan	Phaltan
phaphund	Phaphūnd
phariha	Pharihā
phek	Phek
pherzawl	Pherzawl
phillaur	Phillaur
phirangipuram	Phirangipuram
phulbani	Phulbāni
phulera	Phulera
phulpur	Phūlpur
phulpur	Phulpur
phulwari sharif	Phulwari Sharif
phulwartanr	Phulwartanr
phup kalan	Phūp Kalān
phusro	Phusro
pichor	Pichor
piduguralla	Pidugurālla
pihani	Pihānī
pilani	Pilāni
pilerne	Pilerne
pileru	Pīleru
pilibangan	Pilibangan
pilibhit	Pīlibhīt
pilikodu	Pilikōdu
pilkhua	Pilkhua
pillanallur	Pillānallūr
pimpalgaon	Pimpalgaon
pimpalkhuta	Pimpalkhuta
pimpri	Pimpri
pimpri-chinchwad	Pimpri-Chinchwad
pinahat	Pināhat
pinarayi	Pinarāyi
pindrai	Pindrai
pindwara	Pindwāra
pingawan	Pingawān
pinjaur	Pinjaur
pipalibari	Pipalibari
pipalkoti	Pīpalkoti
pipalrawan	Pipalrawān
pipar	Pīpār
piparia	Pipariā
piparia	Piparia
pipavav bandar	Pipāvāv Bandar
pipili	Pipili
pipla	Pīpla
piploda	Piploda
piplya kumar	Pīplya Kumar
pipodara	Pipodara
pippara	Pippara
pipraich	Pipraich
pipri	Pīpri
pipri	Pipri
pirangut	Pirangut
piranvadi	Piranvādi
piravam	Piravam
pirawa	Pirāwa
pirayiri	Pirāyiri
piriapara	Piriāpāra
piriyapatna	Piriyāpatna
piro	Piro
pirthipur	Pirthīpur
pirzadaguda	Pīrzādagūda
pitampura	Pitampura
pithampur	Pithampur
pithapuram	Pithāpuram
pithora	Pithora
pithoragarh	Pithorāgarh
pittal	Pittal
pituk	Pituk
pochampalli	Pochampalli
podaturpet	Podaturpet
podili	Podili
pokaran	Pokaran
poladpur	Poladpur
polaia kalan	Polāia Kalān
polasara	Polasara
polavaram	Polavaram
polichalur	Polichalur
pollachi	Pollachi
polur	Polūr
ponda	Ponda
pondarkanali	Pondarkanali
ponduru	Pondūru
ponmana	Ponmana
ponmundam	Ponmundam
ponnamaravati	Ponnamarāvati
ponnampatti	Ponnampatti
ponnampet	Ponnampet
ponnani	Ponnāni
ponneri	Ponneri
ponnur	Ponnur
ponnuru	Ponnūru
poomangalam	Poomangalam
poonamalle	Poonamalle
poranki	Poranki
porathissery	Porathissery
porbandar	Porbandar
porkolam	Porkolam
porsa	Porsa
port blair	Port Blair
porur	Porur
potreddipalli	Potreddipalli
pottaneri nallakavundanpatti	Pottaneri Nallakavundanpatti
pottanur	Pottanūr
pottor	Pottōr
powai	Powai
poyya	Poyya
prantij	Prāntij
prasadampadu	Prasadampadu
pratap singhwala	Pratāp Singhwāla
pratapgarh	Pratāpgarh
pratapsasan	Pratapsasan
prayagraj	Prayagraj
priol	Priol
prisal	Prisal
proddatur	Proddatūr
prothrapur	Prothrapur
pub - dhaniram pather	Pub - Dhaniram Pather
puderiyur	Puderiyūr
pudu	Pudu
puducherry	Puducherry
pudukkottai	Pudukkottai
pudunagaram	Pudunagaram
pudupalayam	Pudupalayam
pudupattanam	Pudupattanam
puduppatti	Puduppatti
pudur	Pudūr
pudur	Pudur
pudusseri	Pudusseri
pudussery west	Pudussery West
puduvayal	Puduvāyal
puduvayal	Puduvayal
pugalur	Pugalūr
pugalur agraharam	Pugalūr Agrahāram
pujali	Pujali
pukhrayan	Pukhrāyān
pukkod	Pūkkōd
pul pehlad	Pul Pehlad
pulakkod	Pūlakkōd
pulambadi	Pulāmbādi
pulampatti	Pūlāmpatti
pulangudi	Pūlāngudi
pulankinar	Pūlānkinar
pulgaon	Pulgaon
pulivendla	Pulivendla
puliyankannu	Puliyankannu
puliyankudi	Puliyankudi
puliyoorsalai	Puliyoorsalai
puliyur	Puliyūr
pullambadi	Pullambādi
pullur	Pullur
puluvappatti	Pūluvappatti
pulwama	Pulwama
punahana	Pūnāhāna
punalur	Punalūr
punasa	Punāsa
punch	Pūnch
pundri	Pūndri
pune	Pune
punganuru	Punganūru
punjai puliyampatti	Punjai Puliyampatti
punnayur	Punnayūr
pupri	Pupri
puraini	Purāini
puranattukara	Puranattukara
puranpur	Pūranpur
puravachcheri	Puravachcheri
puri	Puri
purihasa	Purihasa
purna	Pūrna
purne	Purne
purnia	Purnia
puruliya	Puruliya
purushottampur	Purushottampur
purwa	Purwā
pusad	Pusad
pusaur	Pusaur
pushkar	Pushkar
puth kalan	Pūth Kalān
puth khurd	Pūth Khurd
puthencruz	Puthencruz
puthenvelikara	Puthenvelikara
puthukkad	Puthukkad
puthukkadai	Puthukkadai
puthuppally	Puthuppally
puthuppariyaram	Puthuppariyāram
puthur	Puthūr
puttalam	Puttalam
puttankulam	Puttankulam
puttantura	Puttantura
puttaparthi	Puttaparthi
puttur	Puttūr
puvalur	Pūvalūr
puvatuparamba	Pūvātūparamba
puzhakkal	Puzhakkal
puzhal	Puzhal
puzhathi	Puzhathi
pyala	Pyāla
qadian	Qadian
qazigund	Qāzigund
quepem	Quepem
queula	Queula
quimoh	Quimoh
quthbullapur	Quthbullapur
r.s. pora	R.S. Pora
rabkavi	Rabkavi
rabkavi-banhatti	Rabkavi-Banhatti
rabupura	Rabūpura
radaur	Radaur
radhakishorenagar	Radhakishorenagar
radhakishorepur	Rādhākishorepur
radhakund	Rādhākund
radhanpur	Rādhanpur
raebareli	Raebareli
rafiganj	Rafiganj
raga	Raga
raghogarh	Rāghogarh
raghudebbati	Raghudebbati
raghunandanpur	Raghunandanpur
raghunathpur	Raghunāthpur
raghunathpur	Raghunathpur
raghunathpuram	Raghunāthpuram
raha	Rahā
rahanal	Rahanal
rahata	Rahata
rahatgarh	Rāhatgarh
rahimatpur	Rahimatpur
rahon	Rāhon
rahud	Rāhud
rahuri	Rāhuri
raia	Raia
raichur	Rāichūr
raiganj	Rāiganj
raigarh	Raigarh
raighar	Raighar
raikot	Rāikot
rail	Rail
raipur	Rāipur
raipur	Raipur
raipur domana	Raipur Domana
raipur rani	Rāipur Rāni
raipur rasulpur	Raipur Rasulpur
rairangpur	Rairangpur
raisen	Raisen
raisinghnagar	Rāisinghnagar
raiwala bara	Rāīwāla Bara
raj pur khurd	Raj Pur Khurd
raj-nandgaon	Rāj-Nāndgaon
raja pur khurd	Raja Pur Khurd
raja ranapur	Rāja Ranapur
raja sansi	Rāja Sānsi
rajabhita	Rājābhita
rajakhera	Rājākhera
rajakheri	Rajākheri
rajakilpakkam	Rajakilpakkam
rajaldesar	Rājaldesar
rajamahendravaram	Rajamahendravaram
rajaori	Rajaori
rajapalayam	Rajapalayam
rajapur	Rājāpur
rajasingamangalam	Rājāsingamangalam
rajauli	Rajauli
rajgamar	Rajgamar
rajgangpur	Rajgangpur
rajgarh	Rājgarh
rajgir	Rājgīr
rajgurunagar	Rājgurunagar
rajim	Rājim
rajkot	Rājkot
rajmahal	Rājmahal
rajnagar	Rājnagar
rajopatti urf kota bazar	Rajopatti urf Kota Bazar
rajpipla	Rājpīpla
rajpur	Rajpur
rajpur sonarpur	Rajpur Sonarpur
rajpura	Rajpura
rajsamand	Rājsamand
rajula	Rājula
rajur	Rājur
rajura	Rājūra
rakh gadi garh	Rakh Gadi Garh
rakhabh dev	Rakhabh Dev
rakholi	Rakholi
rakkiyapalaiyam	Rakkiyapālaiyam
ram das	Rām Dās
ramachandrapuram	Rāmachandrapuram
ramachandrapuran	Rāmachandrapuran
ramachettipalaiyam	Rāmachettipālaiyam
ramagiri udayagiri	Rāmagiri Udayagiri
ramagundam	Ramagundam
ramalingapuram	Rāmalingapuram
ramamangalam	Rāmamangalam
raman	Rāman
ramanapeta	Rāmanapeta
ramanathapuram	Ramanathapuram
ramanattukara	Ramanattukara
ramanayyapeta	Ramanayyapeta
ramanuj ganj	Rāmānuj Ganj
ramapuram	Rāmāpuram
ramapuram	Ramapuram
ramavarappadu	Rāmavarappādu
ramban	Rāmban
rambha	Rambha
ramdurg	Rāmdurg
rameswaram	Rameswaram
ramganj mandi	Rāmganj Mandi
ramgarh	Rāmgarh
ramgarh	Ramgarh
ramgundam	Rāmgundam
ramjibanpur	Rāmjībanpur
ramkola	Rāmkola
ramnagar	Rāmnagar
rampachodavaram	Rampachodavaram
rampur	Rāmpur
rampur hat	Rampur Hat
rampura	Rāmpura
rampura phul	Rampura Phul
ramtek	Rāmtek
ran	Ran
ranaghat	Rānāghāt
ranapur	Rānāpur
ranavav	Rānāvāv
ranchi	Ranchi
ranebennur	Ranebennur
rangapahar	Rangapahār
rangapara	Rangāpāra
rangapuram	Rangāpuram
rangat	Rangat
rangia	Rangia
rangpo	Rangpo
rani	Rāni
rani khera	Rāni Khera
rania	Rānia
raniganj	Rānīganj
raniganj	Rāniganj
ranikhet	Rānikhet
ranipet	Rānipet
ranipur	Rānīpur
ranir bazar	Rānīr Bāzār
ranjangaon s	Ranjangaon S
ranoli	Ranoli
ranpur	Rānpur
rapar	Rāpar
ras	Rās
rasapudipalem	Rasapūdipalem
rasikpur	Rasikpur
rasipuram	Rasipuram
rasra	Rasrā
rasulabad	Rasūlābād
ratangarh	Ratangarh
ratannagar	Ratannagar
ratanpur	Ratanpur
rath	Rāth
rathian	Rathian
ratia	Ratia
ratlam	Ratlām
ratnagiri	Ratnagiri
ratnapuram	Ratnāpuram
ratnu chak	Ratnu Chak
ratu	Rātu
raurkela industrial township	Raurkela Industrial Township
raval	Raval
ravapara	Ravapara
raver	Rāver
ravu	Rāvu
rawalsar	Rawālsar
rawan	Rawān
rawatbhata	Rāwatbhāta
rawatsar	Rāwatsār
raxaul	Raxaul
ray	Rāy
raya	Rāya
rayachoti	Rayachoti
rayadrug	Rāyadrug
rayagada	Rāyagada
rayagiri	Rāyagiri
raybag	Raybag
razam	Rāzām
razampeta	Rāzampeta
razole	Rāzole
red	Red
reddipalaiyam	Reddipālaiyam
reddivaripalle	Reddivaripalle
reengus	Reengus
rees	Rees
reethapuram	Reethapuram
rehambal	Rehambal
rehli	Rehli
rehti	Rehti
reis magos	Reis Magos
rekurti	Rekurti
reliance complex	Reliance Complex
religara	Religāra
remuna	Remuna
rengali	Rengāli
rengte	Rengte
renigunta	Renigunta
renukut	Renukūt
renwal	Renwāl
reodhar	Reodhar
reoti	Reoti
repalle	Repalle
rerma	Rermā
resubelpara	Resubelpara
revadanda	Revadanda
revelganj	Revelganj
rewa	Rewa
rewari	Rewāri
rhenok	Rhenok
riasi	Riāsi
rib	Rib
richha	Richha
rid	Rid
rijokri	Rijokri
risama	Risāmā
rishikesh	Rishīkesh
rishra	Rishra
risod	Risod
robertsganj	Robertsganj
robertsonpet	Robertsonpet
roha	Roha
rohini	Rohini
rohru	Rohru
rohtak	Rohtak
roing	Roing
ron	Ron
roorkee	Roorkee
ropar	Ropar
rosera	Rosera
roshanpura	Roshanpura
rourkela	Rourkela
rudarpur	Rūdarpur
rudraprayag	Rudraprayāg
rudrapur	Rudrapur
rudravati	Rudrāvati
run	Rūn
rupa	Rupa
rupahi town	Rupahi Town
rupiabathan	Rupiabathan
rura	Rura
rurki	Rurki
rusera	Rusera
s. rayavaram	S. Rayavaram
sabalgarh	Sabalgarh
sabathu	Sabāthu
sabathu cantonment	Sabathu Cantonment
sabaur	Sabaur
sabo	Sabo
sabroom	Sabroom
sachin	Sachīn
sachin ina	Sachin INA
sad	Sad
sadabad	Sadābād
sadalgi	Sadalgi
sadasivpet	Sadasivpet
sadat	Sādāt
sadatpur gujran	Sādatpur Gujran
sadhaura	Sādhaura
sadpalli	Sādpalli
sadri	Sādri
sadulshahar	Sadulshahar
safapur	Safāpūr
safidon	Safidon
safipur	Safīpur
sagalee	Sagalee
sagar	Sāgar
sagauli	Sagauli
sagbara	Sāgbāra
sagwara	Sāgwāra
saha	Sāha
sahapur	Sāhāpur
saharanpur	Sahāranpur
saharsa	Saharsa
sahaspur	Sahaspur
sahaswan	Sahaswān
sahawar	Sahāwar
sahibabad daulotpur	Sāhibābād Daulotpur
sahibganj	Sāhibganj
sahnidih	Sahnidih
sahur	Sāhur
saidabad	Saidabad
saidapur	Saidāpur
saidpur	Saidpur
saidpura	Saidpura
saiha	Saiha
saij	Saij
sailana	Sailāna
saint thomas mount	Saint Thomas Mount
sainthia	Sainthia
sairang	Sairang
saitlaw	Sāitlaw
saitual	Saitual
saiyad-ul-ajaib	Saiyad-ul-ajaib
saja	Sāja
sajipanadu	Sajipanadu
sakharkherda	Sakharkherda
sakit	Sakīt
sakkimangalam	Sakkimangalam
sakleshpur	Sakleshpur
saknepalli	Saknepalli
sakoli	Sākoli
sakri	Sakrī
sakri	Sakri
saktasanala	Saktasanala
sakti	Saktī
salakati	Salakati
salamba	Salamba
salamedu	Sālamedu
salangaippalaiyam	Salangaippālaiyam
salaya	Salāya
salem	Salem
saligao	Saligao
saligram	Saligram
saloh	Saloh
salon	Salon
salpara molandubi pt.-i	Salpara Molandubi Pt.-I
salumbar	Sālūmbar
salur	Sālūr
salvador do mundo	Salvador do Mundo
salvav	Salvav
samalapuram	Sāmalāpuram
samalka	Samālka
samalkha	Samālkha
samalkot	Sāmalkot
samana	Samāna
samanattam	Sāmanattam
samangaon	Samangaon
samarvarni	Samarvarni
samastipur	Samāstipur
samattur	Samattūr
samayanallur	Samayanallūr
samba	Sāmba
sambalpur	Sambalpur
sambhal	Sambhal
sambhar	Sāmbhar
sambre	Sāmbre
samburvadakara	Sāmbūrvadakara
samdari	Samdari
sampla	Sāmpla
samrala	Samrāla
samsikapuram	Samsikāpuram
samthar	Samthar
samurou	Samurou
sanand	Sānand
sanaswadi	Sanaswadi
sanaur	Sanaur
sanawad	Sanāwad
sanchi	Sānchi
sanchor	Sānchor
sancoale	Sancoale
sandi	Sāndi
sandila	Sandīla
sandur	Sandūr
sanehwal	Sānehwāl
sangamner	Sangamner
sangareddi	Sangāreddi
sangaria	Sangariā
sangaria	Sāngaria
sangat kalan	Sangat Kalān
sangau ?e?	Sangau ?E?
sangli	Sāngli
sangmeshwar	Sangmeshwār
sangod	Sangod
sangola	Sāngola
sangramnagar	Sangramnagar
sangrampur	Sangrāmpur
sangrur	Sangrūr
sanguem	Sanguem
sangvi	Sangvi
sanivarapupeta	Sanivārapupeta
sanivarsante	Sanivārsante
sanjali	Sanjali
sanjan	Sanjan
sanjeli	Sanjeli
sankagiri	Sankagiri
sankaramanallur	Sankaramanallur
sankarankovil	Sankarankovil
sankarapatti	Sankarapatti
sankaraperi	Sankaraperi
sankarnagar	Sankarnagar
sankeshwar	Sankeshwar
sankheda	Sankheda
sankrail	Sānkrāil
sanpara	Sanpara
sanquelim	Sanquelim
sanrha	Sānrha
sanri	Sānri
sansari	Sansari
sansarpur	Sansarpur
sansikhara	Sansikhara
santirbazar	Santirbazar
santokhgarh	Santokhgarh
santokhpur unwan	Santokhpur Unwan
santpur	Sāntpur
santrampur	Santrampur
sanuru	Sānūru
sanvordem	Sanvordem
sanwer	Sānwer
sao jose de areal	São José de Areal
saoner	Saoner
saori	Sāori
sap	Sap
sapatgram	Sapatgrām
sapotra	Sapotra
saputara	Saputara
saragaon	Sāragaon
sarahan	Sarāhan
sarai akil	Sarāi Ākil
sarai ekdil	Sarai Ekdil
sarai khas	Sarai Khas
sarai mir	Sarāi Mīr
saraikela	Saraikela
saraipali	Saraipali
saraiya	Saraiya
saram	Sāram
saranga	Saranga
sarangarh	Sārangarh
sarangpore	Sarangpore
sarangpur	Sārangpur
sarapaka	Sarapāka
sarauli	Sarauli
sarauni	Sarauni
saravli	Saravli
sarbhog	Sarbhog
sardarpur	Sardārpur
sardarshahr	Sardārshahr
sardhana	Sardhana
sardulgarh	Sardulgarh
sargaon	Sargaon
sargur	Sargūr
saria	Saria
sarigam ina	Sarigam INA
sarila	Sarīla
sarimpur	Sarimpur
sarjamda	Sarjamda
sarjapur	Sarjāpur
sarka ghat	Sarka Ghāt
sarkar periyapalaiyam	Sarkār Periyapālaiyam
sarkhej	Sarkhej
sarna	Sarna
sarni	Sārni
sarpara	Sarpara
sarthebari	Sarthebari
sarubera	Sāruberā
sarupathar	Sarupathar
sarupathar bengali	Sarupathar Bengali
sarwar	Sarwar
sasaram	Sasarām
sasni	Sāsni
sasti	Sāsti
sasvad	Sāsvad
satai	Satai
satakha	Satakha
satalkheri	Sātalkheri
satana	Satānā
satara	Satara
sater	Sāter
satgawan	Satgawan
satghara	Satghara
sathamba	Sathamba
sathankulam	Sathankulam
sathupalli	Sathupalli
